Player
Quincy Acy
Deng Adel
Trevon Duval
Justin Patton
Thomas Welsh
Melvin Frazier Jr.
Vincent Edwards
Angel Delgado
Jarred Vanderbilt
Brandon Goodwin
Eric Moreland
Malachi Richardson
Jacob Evans
Davon Reed
Naz Mitrou-Long
Terrence Jones
Yante Maten
DeVaughn Akoon-Purcell
Kostas Antetokounmpo
Sindarius Thornwell
Alize Johnson
Ron Baker
Tyler Lydon
Isaac Bonga
Chris Chiozza
Tyler Cavanaugh
Jawun Evans
George King
John Holland
Tyler Ulis
Tyler Davis
Andre Ingram
Okaro White
Kobi Simmons
Zach Lofton
Ike Anigbogu
Donte Grantham
